date,open,close,delta_price,vola,btc,twtr
2014-09-17,465.864014,457.334015,-1.8479765947196982,,13284700.0,27946.0
2014-09-18,456.859985,424.440002,-7.360630767742695,,13283250.0,21135.0
2014-09-19,424.102997,394.79599,-7.160719271891734,,13293075.0,20775.0
2014-09-20,394.673004,408.903992,3.5422806021772004,,13297450.0,17607.0
2014-09-21,408.084991,398.821014,-2.2962734206201247,,13295250.0,17026.0
2014-09-22,399.100006,402.152008,0.7618119410853675,,13305150.0,14984.0
2014-09-23,402.09201,435.790985,8.048179317515231,,13309225.0,23489.0
2014-09-24,435.751007,423.204987,-2.9214330854454658,,13307450.0,20675.0
2014-09-25,423.156006,411.574005,-2.775207357497913,,13317075.0,20757.0
2014-09-26,411.428986,404.424988,-1.7170156169058537,,13320275.0,19512.0
2014-09-27,403.556,399.519989,-1.005146470752087,,13319275.0,17202.0
2014-09-28,399.471008,377.181,-5.741601352480835,,13327200.0,16636.0
2014-09-29,376.928009,375.46701,-0.38836005007489344,,13331000.0,19660.0
2014-09-30,376.088013,386.944,2.845678659116057,,13330950.0,21073.0
2014-10-01,387.427002,383.61499,-0.9888029702309526,,13338325.0,18636.0
2014-10-02,383.988007,375.071991,-2.349333678379494,,13341850.0,18380.0
2014-10-03,375.181,359.511993,-4.266103936379727,,13342550.0,20207.0
2014-10-04,359.891998,328.865997,-9.01536170407115,,13349875.0,18214.0
2014-10-05,328.915985,320.51001,-2.588884509030296,,13353875.0,20031.0
2014-10-06,320.389008,330.07901,2.979614255594362,,13354600.0,25065.0
2014-10-07,330.584015,336.187012,1.6806755725684268,,13360925.0,22543.0
2014-10-08,336.115997,352.940002,4.884174692977875,,13364475.0,24408.0
2014-10-09,352.747986,365.026001,3.421470537110822,,13368450.0,24075.0
2014-10-10,364.687012,361.562012,-0.8605916658426225,,13366075.0,19090.0
2014-10-11,361.362,362.299011,0.25896421374348716,,13375725.0,17107.0
2014-10-12,362.605988,378.549011,4.302873969570907,,13379550.0,17072.0
